Victory Sweet Shop/Victory Garden Cafe,Ad 4.5,341,21-69 Steinway St,Restaurant,Open ⋅ Closes 12 am,
Spice Symphony,4.4,"1,521",150 E 50th St,Indian,Open ⋅ Closes 2:45 PM ⋅ Reopens 5 PM,
Nocello,4.6,304,257 W 55th St,Italian,Closed ⋅ Opens 4 PM,
Yard House,4.5,"2,055",575 7th Ave,New American,Open ⋅ Closes 1:20 AM,
El Vez and Burrito Bar,4.3,"2,346",259 Vesey St,Mexican,Open ⋅ Closes 10 PM,
The Cabin NYC,4.2,273,205 E 4th St,New American,,
Miznon,4.5,"2,239",435 W 15th St,Israeli,Open ⋅ Closes 9 PM,
Junoon,4.3,"2,839",19 W 24th St,Indian,Closed ⋅ Opens 5:30 PM,
Wolf at Nordstrom NYC,4.7,162,225 W 57th St,Italian,Open ⋅ Closes 10 PM,
Da Marino NYC,4.2,763,220 W 49th St,Italian,Open ⋅ Closes 1 AM,
The Palm - Palm West,4.3,901,250 W 50th St,Steak,Open ⋅ Closes 10 PM,
San Carlo Osteria Piemonte,4.6,693,90 Thompson St,Italian,Opens soon ⋅ 12 PM,
La Pulpería 44th HK,4.4,676,623 9th Ave,Latin American,Closed ⋅ Opens 4 PM,
Majorelle,4.6,178,28 E 63rd St,Haute French,Closed ⋅ Opens 5 PM,
Bea,4.4,"1,680",403 W 43rd St,American,Closed ⋅ Opens 5 PM,
PALERMO NYC ARGENTINIAN BISTRO,4.5,552,373 W 46th St,Argentinian,Closed ⋅ Opens 5 PM,
Oceans,4.7,405,233 Park Ave S,Seafood,Open ⋅ Closes 2:30 PM ⋅ Reopens 5 PM,
Dos Caminos,4.0,"1,838",1567 Broadway,Mexican,Open ⋅ Closes 9 PM,
Hortus NYC,4.6,470,271 5th Ave Store,Asian Fusion,Open ⋅ Closes 3:30 PM ⋅ Reopens 5:30 PM,
Buddha-Bar Restaurant New York,4.0,481,62 Thomas St,Asian Fusion,,
Heidelberg Restaurant,4.4,"1,236",1648 2nd Ave,German,Open ⋅ Closes 11 PM,
Mister French,4.4,206,24 E 21st St,French,Closed ⋅ Opens 5 PM,
Restaurant Above,4.3,37,234 W 42nd St,American,Closed ⋅ Opens 6:30 AM Thu,
Sylvia's,4.3,"7,001",328 Malcolm X Blvd,Soul,Open ⋅ Closes 10 PM,
Mari Vanna,4.5,"1,402",41 E 20th St,Eastern European,Closed ⋅ Opens 4 PM,
RH Rooftop Restaurant New York,4.5,"1,405",9 9th Ave,American,Open ⋅ Closes 9 PM,
Il Mulino New York - Uptown,4.3,379,37 E 60th St,Italian,Opens soon ⋅ 12 PM,
Hard Rock Cafe,4.4,"20,758",1501 Broadway,American,Open ⋅ Closes 11 PM,
Toledo,4.4,130,6 E 36th St,Spanish,Opens soon ⋅ 12 PM,
Kuu Ramen,4.4,"1,493",20 John St,Ramen,Open ⋅ Closes 9:30 PM,
